,close,high,low,open,volume
1605203040,353.8,353.83,353.66,353.66,817
1605203100,353.68,353.82,353.67,353.8,581
1605203160,353.22,353.69,353.22,353.68,3378
1605203220,353.34,353.4,353.17,353.22,2291
1605203280,353.15,353.41,353.14,353.34,1097
1605203340,352.93,353.17,352.85,353.17,3147
1605203400,352.73,353.08,352.63,352.92,2328
1605203460,352.56,352.89,352.53,352.72,2150
1605203520,352.89,352.93,352.51,352.56,3003
1605203580,353.01,353.05,352.86,352.87,1764
1605203640,353.19,353.28,353.0,353.02,2514
1605203700,353.17,353.29,353.13,353.19,1428
1605203760,353.21,353.21,353.08,353.18,693
